"","Status","Paper.code","Paper.number","Screening.set","Extraction.set","Paper","Publication.year","Title","DOI","Species.latin","Family","Class","Phylum","Sex.exposed","Fertilisation.mode","Agricultural.importance","Lab.or.field","Animal.origin","Stressor.variation","Habitat","Country.of.origin","Continent.of.origin","Ocean.sea.of.origin","Exposure.duration","Life.stage.of.animal","Lowest.temp.below.10.C.","Constant.or.fluctuating.","Acclimated.","Experiment.code","Sex","Rearing.temperature","diff","reftemp","treattemp","warm.cool","es_reproduction","v_reproduction","es_longevtiy","v_longevtiy"
"1","Good","HUM257",2161,42,"19C","Sanchez-Ramos & Castanera",2007,"Effect of temperature on reproductive parameters and the longevity of Acarus farris (Acarl : Acaridae","10.1016/j.jspr.2007.03.008","Acarus farris","Acaridae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","Yes","Constant","Yes (multiple generations)","HUM257A","Female",25,-18,25,7,"Cool",-1.431867929,0.041077072,NA,NA
"2","Good","HUM257",2161,42,"19C","Sanchez-Ramos & Castanera",2007,"Effect of temperature on reproductive parameters and the longevity of Acarus farris (Acarl : Acaridae","10.1016/j.jspr.2007.03.008","Acarus farris","Acaridae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","Yes","Constant","Yes (multiple generations)","HUM257B","Female",25,-18,25,7,"Cool",NA,NA,2.140128069,0.051116368
"3","Good","HUM257",2161,42,"19C","Sanchez-Ramos & Castanera",2007,"Effect of temperature on reproductive parameters and the longevity of Acarus farris (Acarl : Acaridae","10.1016/j.jspr.2007.03.008","Acarus farris","Acaridae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","Yes","Constant","Yes (multiple generations)","HUM257A","Female",25,-15,25,10,"Cool",0.348599618,0.030735925,NA,NA
"4","Good","HUM257",2161,42,"19C","Sanchez-Ramos & Castanera",2007,"Effect of temperature on reproductive parameters and the longevity of Acarus farris (Acarl : Acaridae","10.1016/j.jspr.2007.03.008","Acarus farris","Acaridae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","Yes","Constant","Yes (multiple generations)","HUM257B","Female",25,-15,25,10,"Cool",NA,NA,1.755495618,0.041781609
"5","Good","HUM257",2161,42,"19C","Sanchez-Ramos & Castanera",2007,"Effect of temperature on reproductive parameters and the longevity of Acarus farris (Acarl : Acaridae","10.1016/j.jspr.2007.03.008","Acarus farris","Acaridae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","Yes","Constant","Yes (multiple generations)","HUM257A","Female",25,-10,25,15,"Cool",0.750651236,0.03098523,NA,NA
"6","Good","HUM257",2161,42,"19C","Sanchez-Ramos & Castanera",2007,"Effect of temperature on reproductive parameters and the longevity of Acarus farris (Acarl : Acaridae","10.1016/j.jspr.2007.03.008","Acarus farris","Acaridae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","Yes","Constant","Yes (multiple generations)","HUM257B","Female",25,-10,25,15,"Cool",NA,NA,1.194393564,0.034089902
"7","Good","HUM257",2161,42,"19C","Sanchez-Ramos & Castanera",2007,"Effect of temperature on reproductive parameters and the longevity of Acarus farris (Acarl : Acaridae","10.1016/j.jspr.2007.03.008","Acarus farris","Acaridae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","Yes","Constant","Yes (multiple generations)","HUM257A","Female",25,-5,25,20,"Cool",0.673460281,0.031117653,NA,NA
"8","Good","HUM257",2161,42,"19C","Sanchez-Ramos & Castanera",2007,"Effect of temperature on reproductive parameters and the longevity of Acarus farris (Acarl : Acaridae","10.1016/j.jspr.2007.03.008","Acarus farris","Acaridae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","Yes","Constant","Yes (multiple generations)","HUM257B","Female",25,-5,25,20,"Cool",NA,NA,0.305146761,0.0298022
"9","Good","HUM257",2161,42,"19C","Sanchez-Ramos & Castanera",2007,"Effect of temperature on reproductive parameters and the longevity of Acarus farris (Acarl : Acaridae","10.1016/j.jspr.2007.03.008","Acarus farris","Acaridae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","Yes","Constant","Yes (multiple generations)","HUM257A","Female",25,4,25,29,"Warm",-1.728496695,0.042194242,NA,NA
"10","Good","HUM257",2161,42,"19C","Sanchez-Ramos & Castanera",2007,"Effect of temperature on reproductive parameters and the longevity of Acarus farris (Acarl : Acaridae","10.1016/j.jspr.2007.03.008","Acarus farris","Acaridae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","Yes","Constant","Yes (multiple generations)","HUM257B","Female",25,4,25,29,"Warm",NA,NA,-1.269917715,0.036985871
