Status,Paper code,Paper number,Screening set,Extraction set,Paper,Publication year,Title,DOI,Species latin,Family,Class,Phylum,Sex exposed,Fertilisation mode,Agricultural importance,Lab or field,Animal origin,Stressor variation,Habitat,Country of origin,Continent of origin,Ocean/sea of origin,Exposure duration,Life-stage of animal,Lowest temp below 10°C?,Constant or fluctuating?,Acclimated?,Effect size code,Experiment code,Trait category,Trait,Sex,Rearing temperature,No of temp treatments,Min temp,Max temp,Data location,Test,Statistic,Effect size direction,Total N (replicates),Total animals ,Temp1,N1,ani_1,Prop1,Mean1,SD1,Temp2,N2,ani_2,Prop2,Mean2,SD2,Temp3,N3,ani_3,Prop3,Mean3,SD3,Temp4,N4,ani_4,Prop4,Mean4,SD4,Temp5,N5,ani_5,Prop5,Mean5,SD5,Temp6,N6,ani_6,Prop6,Mean6,SD6,Temp7,N7,ani_7,Prop7,Mean7,SD7,Temp8,N8,ani_8,Prop8,Mean8,SD8,Temp9,N9,ani_9,Prop9,Mean9,SD9,Comment,ref_temp,ref_mean,ref_sd,ref_ani,ref_N,rearing?
Good,HUM109,2073,40,19B,Gibbs et al.,2010,"Reproductive plasticity, ovarian dynamics and maternal effects in response to temperature and flight in Pararge aegeria",10.1016/j.jinsphys.2010.04.009,Pararge aegeria,Nymphalidae,Insecta,Arthropoda,Female,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM109_1,HUM109A,Reproduction,Fecundity (Lifetime number of eggs),Female,NA,2,19,27,In Text 4.1.2,NA,NA,NA,59,59,19,29,29,NA,85.4,63.54,27,30,30,NA,133.1,63.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,133.1,63.54,30,30,N
Good,HUM109,2073,40,19B,Gibbs et al.,2010,"Reproductive plasticity, ovarian dynamics and maternal effects in response to temperature and flight in Pararge aegeria",10.1016/j.jinsphys.2010.04.009,Pararge aegeria,Nymphalidae,Insecta,Arthropoda,Female,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM109_2,HUM109A,Longevity,Longevity (DAYS),Female,NA,2,19,27,In Text 4.1.2,NA,NA,NA,59,59,19,29,29,NA,25.5,8.08,27,30,30,NA,15.1,7.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,15.1,7.67,30,30,N
Good,HUM130,2084,40,18A,Honarparvar et al.,2012,"Effect of temperature on development and fecundity of the brown mite, Bryobia rubrioculus Scheuten (Acari: Tetranychidae)",10.4001/003.020.0109,Bryobia rubrioculus,Tetranychidae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM130_1,HUM130A,Longevity,Longevity (days),Female,25,9,15,35,Table 2,NA,NA,NA,118,118,15,19,19,NA,14,3.84,17.5,20,20,NA,12.2,2.1,20,22,22,NA,10.2,1.59,22.5,16,16,NA,8.3,2.36,25,14,14,NA,8,3.07,27.5,11,11,NA,6.5,1.72,30,7,7,NA,6.6,1.88,32.5,5,5,NA,6.5,1.5,35,4,4,NA,7,1.4,NA,25,8,3.07,14,14,Y
Good,HUM130,2084,40,18A,Honarparvar et al.,2012,"Effect of temperature on development and fecundity of the brown mite, Bryobia rubrioculus Scheuten (Acari: Tetranychidae)",10.4001/003.020.0109,Bryobia rubrioculus,Tetranychidae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM130_2,HUM130B,Reproduction,Eggs laid per female,Female,25,8,15,32.5,Table 3,NA,NA,NA,114,114,15,19,19,NA,11.6,6.19,17.5,20,20,NA,13.7,4.96,20,22,22,NA,13.8,5.02,22.5,16,16,NA,13.3,6.36,25,14,14,NA,13,7.78,27.5,11,11,NA,12.9,5.17,30,7,7,NA,4.5,4.13,32.5,5,5,NA,4.4,1.97,NA,NA,NA,NA,NA,NA,NA,25,13,7.78,14,14,Y
Good,HUM148,2097,40,25A,Ju et al.,2011,"Effects of temperature on the development and population growth of the sycamore lace bug, Corythucha ciliata",10.1673/031.011.0116,Corythucha ciliata,Tingidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM148_1,HUM148A,Reproduction,eggs per female,Female,26,6,16,33,Table 3,NA,NA,NA,90,90,16,15,15,NA,0,0,19,15,15,NA,87.7,68.94,22,15,15,NA,146.1,126.2592571,26,15,15,NA,273,140.2,30,15,15,NA,286.8,176.61,33,15,15,NA,229.9,223.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean +-SE at temperature level, SD calculated per group sample size (see sample deviation calculation sheet)",26,273,140.2,15,15,Y
Good,HUM148,2097,40,25A,Ju et al.,2011,"Effects of temperature on the development and population growth of the sycamore lace bug, Corythucha ciliata",10.1673/031.011.0116,Corythucha ciliata,Tingidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM148_2,HUM148A,Longevity,longevity (days),Female,26,6,16,33,Table 3,NA,NA,NA,90,90,16,15,15,NA,58.9,53.06,19,15,15,NA,42.6,71.26,22,15,15,NA,38.8,55,26,15,15,NA,33.2,67.39,30,15,15,NA,33.7,34.86,33,15,15,NA,17.7,5.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean +-SE at temperature level, SD calculated per group sample size (see sample deviation calculation sheet)",26,33.2,67.39,15,15,Y
Good,HUM152,2100,40,25A,Kasap,2010,PREY-STAGE PREFERENCE AND POPULATION INCREASE OF THE PREDACEOUS MITE KAMPIMODROMUS ABERRANS (OUDEMANS) (ACARI: PHYTOSEIIDAE) ON TETRANYCHUS URTICAE KOCH (ACARI: TETRANYCHIDAE) UNDER LABORATORY CONDITIONS,10.1080/01647950903575341,Kampimodromus aberrans,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,HUM152_1,HUM152A,Reproduction,eggs per female,Female,25,4,16,30,Table 2,NA,NA,NA,43,43,16,9,9,NA,8.7,0.78,20,11,11,NA,10.4,0.84,25,14,14,NA,17.2,1.28,30,9,9,NA,13.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean +-SE at temperature level, SD calculated per group sample size (see sample deviation calculation sheet)",25,17.2,1.28,14,14,Y
Good,HUM152,2100,40,25A,Kasap,2010,PREY-STAGE PREFERENCE AND POPULATION INCREASE OF THE PREDACEOUS MITE KAMPIMODROMUS ABERRANS (OUDEMANS) (ACARI: PHYTOSEIIDAE) ON TETRANYCHUS URTICAE KOCH (ACARI: TETRANYCHIDAE) UNDER LABORATORY CONDITIONS,10.1080/01647950903575341,Kampimodromus aberrans,Phytoseiidae,Arachnida,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,HUM152_2,HUM152A,Longevity,Longevtiy,Both sexes,25,4,16,30,Table 2,NA,NA,NA,43,43,16,9,9,NA,75.6,4.13,20,11,11,NA,58.8,3.79,25,14,14,NA,25.8,1.27,30,9,9,NA,17.4,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used Total days for longevity,25,25.8,1.27,14,14,Y
Good,HUM169,2109,41,19A,Kumari & Sadana,1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE",10.1007/BF01246091,Amblyseius alstoniae,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM169_2,HUM169B,Longevity,Longevity (DAYS),Female,NA,3,20,30,Table 1,NA,NA,NA,15,15,20,5,5,NA,11.4,0.36,25,5,5,NA,0,0,30,5,5,NA,11.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,At 50% humidity,25,0,0,5,5,N
Good,HUM169,2109,41,19A,Kumari & Sadana,1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE",10.1007/BF01246091,Amblyseius alstoniae,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM169_3,HUM169C,Reproduction,Fecundity,Female,NA,3,20,30,Table 2,NA,NA,NA,15,15,20,5,5,NA,13.4,0.2,25,5,5,NA,20.2,0.31,30,5,5,NA,11.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,At 50% humidity,25,20.2,0.31,5,5,N
