,Status,Paper.code,Paper.number,Screening.set,Extraction.set,Paper,Publication.year,Title,DOI,Species.latin,Family,Class,Phylum,Sex.exposed,Fertilisation.mode,Agricultural.importance,Lab.or.field,Animal.origin,Stressor.variation,Habitat,Country.of.origin,Continent.of.origin,Ocean.sea.of.origin,Exposure.duration,Life.stage.of.animal,Lowest.temp.below.10.C.,Constant.or.fluctuating.,Acclimated.,Effect.size.code,Experiment.code,Trait.category,Trait,Sex,Rearing.temperature,es,v,diff,reftemp,treattemp,warm.cool
2594,Good,HUM109,2073,40,19B,Gibbs et al.,2010,"Reproductive plasticity, ovarian dynamics and maternal effects in response to temperature and flight in Pararge aegeria",10.1016/j.jinsphys.2010.04.009,Pararge aegeria,Nymphalidae,Insecta,Arthropoda,Female,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM109_2,HUM109A,Longevity,Longevity (DAYS),Female,NA,1.303322365,0.082211424,-8,27,19,Cool
2602,Good,HUM109,2073,40,19B,Gibbs et al.,2010,"Reproductive plasticity, ovarian dynamics and maternal effects in response to temperature and flight in Pararge aegeria",10.1016/j.jinsphys.2010.04.009,Pararge aegeria,Nymphalidae,Insecta,Arthropoda,Female,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM109_2,HUM109A,Longevity,Longevity (DAYS),Female,NA,0,0,0,27,27,Reference
920,Good,HUM130,2084,40,18A,Honarparvar et al.,2012,"Effect of temperature on development and fecundity of the brown mite, Bryobia rubrioculus Scheuten (Acari: Tetranychidae)",10.4001/003.020.0109,Bryobia rubrioculus,Tetranychidae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM130_1,HUM130A,Longevity,Longevity (days),Female,25,1.654659461,0.165543452,-10,25,15,Cool
922,Good,HUM130,2084,40,18A,Honarparvar et al.,2012,"Effect of temperature on development and fecundity of the brown mite, Bryobia rubrioculus Scheuten (Acari: Tetranychidae)",10.4001/003.020.0109,Bryobia rubrioculus,Tetranychidae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM130_1,HUM130A,Longevity,Longevity (days),Female,25,1.614969539,0.159783375,-7.5,25,17.5,Cool
924,Good,HUM130,2084,40,18A,Honarparvar et al.,2012,"Effect of temperature on development and fecundity of the brown mite, Bryobia rubrioculus Scheuten (Acari: Tetranychidae)",10.4001/003.020.0109,Bryobia rubrioculus,Tetranychidae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM130_1,HUM130A,Longevity,Longevity (days),Female,25,0.946478436,0.129325081,-5,25,20,Cool
926,Good,HUM130,2084,40,18A,Honarparvar et al.,2012,"Effect of temperature on development and fecundity of the brown mite, Bryobia rubrioculus Scheuten (Acari: Tetranychidae)",10.4001/003.020.0109,Bryobia rubrioculus,Tetranychidae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM130_1,HUM130A,Longevity,Longevity (days),Female,25,0.107591472,0.134121504,-2.5,25,22.5,Cool
928,Good,HUM130,2084,40,18A,Honarparvar et al.,2012,"Effect of temperature on development and fecundity of the brown mite, Bryobia rubrioculus Scheuten (Acari: Tetranychidae)",10.4001/003.020.0109,Bryobia rubrioculus,Tetranychidae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM130_1,HUM130A,Longevity,Longevity (days),Female,25,0,0,0,25,25,Reference
930,Good,HUM130,2084,40,18A,Honarparvar et al.,2012,"Effect of temperature on development and fecundity of the brown mite, Bryobia rubrioculus Scheuten (Acari: Tetranychidae)",10.4001/003.020.0109,Bryobia rubrioculus,Tetranychidae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM130_1,HUM130A,Longevity,Longevity (days),Female,25,-0.564018735,0.168700005,2.5,25,27.5,Warm
932,Good,HUM130,2084,40,18A,Honarparvar et al.,2012,"Effect of temperature on development and fecundity of the brown mite, Bryobia rubrioculus Scheuten (Acari: Tetranychidae)",10.4001/003.020.0109,Bryobia rubrioculus,Tetranychidae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM130_1,HUM130A,Longevity,Longevity (days),Female,25,-0.488609209,0.219969975,5,25,30,Warm
934,Good,HUM130,2084,40,18A,Honarparvar et al.,2012,"Effect of temperature on development and fecundity of the brown mite, Bryobia rubrioculus Scheuten (Acari: Tetranychidae)",10.4001/003.020.0109,Bryobia rubrioculus,Tetranychidae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM130_1,HUM130A,Longevity,Longevity (days),Female,25,-0.515071817,0.278410124,7.5,25,32.5,Warm
