species_latin,family,class,phylum,original_name,resolved_name,temporary_name,thermoregulation,mobility,reproductive_mode,fertilisation_mode,agricultural_importance,habitat1,habitat2
Abatus,Schizasteridae,Echinodermata,Echinodermata,Abatus,abatus,abatus,Ectotherm,Mobile,Sexual,External,No,Aquatic,Marine
Acalymma_vittatum,Chrysomelidae,Insecta,Arthropoda,Acalymma_vittatum,acalymma_vittatum,acalymma_vittatum,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Acanthaster_planci,Acanthasteridae,Echinodermata,Echinodermata,Acanthaster_planci,acanthaster_planci,acanthaster_planci,Ectotherm,Mobile,Sexual,External,No,Aquatic,Marine
Acanthochromis_polyacanthus,Pomacentridae,Actinopterygii,Chordata,Acanthochromis_polyacanthus,acanthochromis_polyacanthus,acanthochromis_polyacanthus,Ectotherm,Mobile,Sexual,External,No,Aquatic,Marine
Acanthodoris_pilosa,Onchidorididae,Mollusca,Mollusca,Acanthodoris_pilosa,acanthodoris_pilosa,acanthodoris_pilosa,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Acartia_bifilosa,Acartiidae,Crustacea,Arthropoda,Acartia_bifilosa,acartia_bifilosa,acartia_bifilosa,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Acartia_clausii,Acartiidae,Crustacea,Arthropoda,Acartia_clausii,acartia_clausii,acartia_clausii,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Acartia_discaudata,Acartiidae,Crustacea,Arthropoda,Acartia_discaudata,acartia_discaudata,acartia_discaudata,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Acartia_hudsonica,Acartiidae,Crustacea,Arthropoda,Acartia_hudsonica,acartia_hudsonica,acartia_hudsonica,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Acartia_longiremis,Acartiidae,Crustacea,Arthropoda,Acartia_longiremis,acartia_longiremis,acartia_longiremis,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Acartia_margalefi,Acartiidae,Crustacea,Arthropoda,Acartia_margalefi,acartia_margalefi,acartia_margalefi,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Acartia_tonsa,Acartiidae,Crustacea,Arthropoda,Acartia_tonsa,acartia_tonsa,acartia_tonsa,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Acarus_farris,Acaridae,Arachnida,Arthropoda,Acarus_farris,acarus_farris,acarus_farris,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Accipiter_gentilis,Accipitridae,Aves,Chordata,Accipiter_gentilis,accipiter_gentilis,accipiter_gentilis,Endotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Accipiter_nisus,Accipitridae,Aves,Chordata,Accipiter_nisus,accipiter_nisus,accipiter_nisus,Endotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Acheta_domesticus,Gryllidae ,Insecta,Arthropoda,Acheta_domesticus,acheta_domesticus,acheta_domesticus,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Acipenser_baerii,Acipenseridae,Actinopterygii,Chordata,Acipenser_baerii,acipenser_baerii,acipenser_baerii,Ectotherm,Mobile,Sexual,External,No,Aquatic,Freshwater
Acipenser_brevirostrum,Acipenseridae,Actinopterygii,Chordata,Acipenser_brevirostrum,acipenser_brevirostrum,acipenser_brevirostrum,Ectotherm,Mobile,Sexual,External,No,Aquatic,Freshwater
Acipenser_ruthenus,Acipenseridae,Actinopterygii,Chordata,Acipenser_ruthenus,acipenser_ruthenus,acipenser_ruthenus,Ectotherm,Mobile,Sexual,External,No,Aquatic,Freshwater
Acrida_exaltata,Acrididae,Insecta,Arthropoda,Acrida_exaltata,acrida_exaltata,acrida_exaltata,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Acrocephalus_arundinaceus,Acrocephalidae,Aves,Chordata,Acrocephalus_arundinaceus,acrocephalus_arundinaceus,acrocephalus_arundinaceus,Endotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Acropora_digitifera,Acroporidae,Cnideria,Cnideria,Acropora_digitifera,acropora_digitifera,acropora_digitifera,Ectotherm,Sessile,Hermaphrodite,External,No,Aquatic,Marine
Acropora_pulchra,Acroporidae,Cnideria,Cnideria,Acropora_pulchra,acropora_pulchra,acropora_pulchra,Ectotherm,Sessile,Hermaphrodite,External,No,Aquatic,Marine
Acropora_tenuis,Acroporidae,Cnideria,Cnideria,Acropora_tenuis,acropora_tenuis,acropora_tenuis,Ectotherm,Sessile,Hermaphrodite,External,No,Aquatic,Marine
Acrosterigma_burchardi,Cardiidae,Mollusca,Mollusca,Acrosterigma_burchardi,acrosterigma_burchardi,acrosterigma_burchardi,Ectotherm,Mobile,Sexual,External,No,Aquatic,Marine
Aculops_lycopersici,Eriophyidae,Arachnida,Arthropoda,Aculops_lycopersici,aculops_lycopersici,aculops_lycopersici,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Acyrthosiphon_gossypii,Aphididae,Insecta,Arthropoda,Acyrthosiphon_gossypii,acyrthosiphon_gossypii,acyrthosiphon_gossypii,Ectotherm,Mobile,Parthenogenetic,NA,Pest,Terrestrial,Terrestrial
Acyrthosiphon_kondoi,Aphididae,Insecta,Arthropoda,Acyrthosiphon_kondoi,acyrthosiphon_kondoi,acyrthosiphon_kondoi,Ectotherm,Mobile,Parthenogenetic,NA,Pest,Terrestrial,Terrestrial
Acyrthosiphon_pisum,Aphididae,Insecta,Arthropoda,Acyrthosiphon_pisum,acyrthosiphon_pisum,acyrthosiphon_pisum,Ectotherm,Mobile,Parthenogenetic,NA,Pest,Terrestrial,Terrestrial
Adalia_bipunctata,Coccinellidae,Insecta,Arthropoda,Adalia_bipunctata,adalia_bipunctata,adalia_bipunctata,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
