"","species_latin","class"
"1","Mus musculus","Mammalia"
"2","Rhabdomys pumilio","Mammalia"
"3","Notomys alexis","Mammalia"
"4","Rattus norvegicus","Mammalia"
"5","Mesocricetus auratus","Mammalia"
"6","Microtus arvalis","Mammalia"
"7","Cavia porcellus","Mammalia"
"8","Microcavia australis","Mammalia"
"9","Lepus californicus","Mammalia"
"10","Oryctolagus cuniculus","Mammalia"
"11","Cercopithecus mitis","Mammalia"
"12","Papio cynocephalus","Mammalia"
"13","Pan troglodytes","Mammalia"
"14","Gorilla beringei","Mammalia"
"15","Cebus capucinus","Mammalia"
"16","Brachyteles hypoxanthus","Mammalia"
"17","Propithecus verreauxi","Mammalia"
"18","Cervus elaphus","Mammalia"
"19","Capra hircus","Mammalia"
"20","Ovis aries","Mammalia"
"21","Oreotragus oreotragus","Mammalia"
"22","Bubalus bubalis","Mammalia"
"23","Bos taurus","Mammalia"
"24","Sus scrofa","Mammalia"
"25","Pecari tajacu","Mammalia"
"26","Lama glama","Mammalia"
"27","Equus asinus","Mammalia"
"28","Equus ferus","Mammalia"
"29","Meles meles","Mammalia"
"30","Canis lupus","Mammalia"
"31","Phoenicurus phoenicurus","Aves"
"32","Saxicola dacotiae","Aves"
"33","Ficedula hypoleuca","Aves"
"34","Ficedula albicollis","Aves"
"35","Sialia currucoides","Aves"
"36","Sialia mexicana","Aves"
"37","Cinclus cinclus","Aves"
"38","Sturnus unicolor","Aves"
"39","Taeniopygia guttata","Aves"
"40","Philetairus socius","Aves"
"41","Cyanerpes caeruleus","Aves"
"42","Sicalis flaveola","Aves"
"43","Calcarius ornatus","Aves"
"44","Calcarius mccownii","Aves"
"45","Melospiza melodia","Aves"
"46","Melospiza georgiana","Aves"
"47","Amphispiza bell","Aves"
"48","Spizella breweri","Aves"
"49","Spizella pusilla","Aves"
"50","Calamospiza melanocorys","Aves"
"51","Sturnella neglecta","Aves"
"52","Passer domesticus","Aves"
"53","Passer montanus","Aves"
"54","Tachycineta bicolor","Aves"
"55","Tachycineta thalassina","Aves"
"56","Hirundo rustica","Aves"
"57","Ptyonoprogne rupestris","Aves"
"58","Acrocephalus arundinaceus","Aves"
"59","Eremophila alpestris","Aves"
"60","Parus cinctus","Aves"
"61","Parus major","Aves"
"62","Cyanistes caeruleus","Aves"
"63","Corvus cornix","Aves"
"64","Lanius collurio","Aves"
"65","Lanius ludovicianus","Aves"
"66","Platycercus elegans","Aves"
"67","Falco sparverius","Aves"
"68","Falco tinnunculus","Aves"
"69","Tyto alba","Aves"
"70","Buteo lineatus","Aves"
"71","Accipiter gentilis","Aves"
"72","Accipiter nisus","Aves"
"73","Circus pygargus","Aves"
"74","Circus cyaneus","Aves"
"75","Larus glaucescens","Aves"
"76","Larus hartlaubii","Aves"
"77","Rissa tridactyla","Aves"
"78","Stercorarius maccormicki","Aves"
"79","Stercorarius antarcticus","Aves"
"80","Haematopus bachmani","Aves"
"81","Botaurus stellaris","Aves"
"82","Eudyptes chrysocome","Aves"
"83","Chlamydotis macqueenii","Aves"
"84","Columba livia","Aves"
"85","Apus pallidus","Aves"
"86","Tympanuchus cupido","Aves"
"87","Tympanuchus pallidicinctus","Aves"
"88","Lagopus lagopus","Aves"
"89","Tetrao urogallus","Aves"
"90","Lyrurus tetrix","Aves"
"91","Meleagris gallopavo","Aves"
"92","Syrmaticus soemmerringii","Aves"
"93","Gallus gallus","Aves"
"94","Coturnix japonica","Aves"
"95","Somateria mollissima","Aves"
"96","Anser anser","Aves"
"97","Struthio camelus","Aves"
"98","Alligator sinensis","Reptilia"
"99","Trachemys scripta","Reptilia"
"100","Chrysemys picta","Reptilia"
"101","Glyptemys insculpta","Reptilia"
"102","Dermochelys coriacea","Reptilia"
"103","Caretta caretta","Reptilia"
"104","Natator depressus","Reptilia"
"105","Sternotherus odoratus","Reptilia"
"106","Chelydra serpentina","Reptilia"
"107","Boiga irregularis","Reptilia"
"108","Xenodon merremii","Reptilia"
